Date,Client,CampaignSegment,Calls,Contacts,Leads,Denom,ListSize,AvgSTLsec,PayrollHours
2026-08-01,A1G,STL,124,23,14,,7794,,
2026-08-01,OHS,FP5,1188,86,22,,1717,,
2026-08-03,A1G,PRIORITY,14721,433,12,,223354,,
2026-08-03,A1G,STL,337,33,16,,8810,,
2026-08-03,OHS,FP5,676,51,14,,2892,,
2026-08-03,OHS,PROB ENROLL,1,0,0,,243,,
2026-08-03,SE,ACTIVE,1827,279,43,,6051,,
2026-08-03,SE,RENEW,69,21,5,,167,,
2026-08-04,A1G,PRIORITY,6398,198,11,,231205,,
2026-08-04,A1G,STL,234,26,19,,9614,,
2026-08-04,AGN,STL,542,,47,439,,662,
2026-08-04,OHS,FP5,325,25,8,,3284,,
2026-08-04,OHS,PROB ENROLL,303,34,8,,826,,
2026-08-04,SE,ACTIVE,6082,396,55,,14749,,
2026-08-04,SE,RENEW,24,1,0,,167,,
2026-08-05,A1G,PRIORITY,7654,276,12,,233234,,
2026-08-05,A1G,STL,209,28,16,,9614,,
2026-08-05,AGN,STL,443,,65,493,,609,
2026-08-05,OHS,FP5,388,20,6,,3510,,
2026-08-05,OHS,PROB ENROLL,87,13,4,,826,,
2026-08-05,SE,ACTIVE,1621,287,57,,19682,,
2026-08-05,SE,RENEW,150,28,4,,282,,
2026-08-06,A1G,PRIORITY,5641,159,11,,306032,,
2026-08-06,A1G,STL,172,21,11,,9719,,
2026-08-06,AGN,STL,505,,54,506,,1456,
2026-08-06,OHS,FP5,396,37,9,,3725,,
2026-08-06,OHS,PROB ENROLL,280,32,11,,826,,
2026-08-06,SE,ACTIVE,2827,345,56,,22778,,
2026-08-06,SE,RENEW,221,19,6,,497,,
2026-08-07,A1G,PRIORITY,1659,115,10,,313464,,
2026-08-07,A1G,STL,106,24,12,,9719,,
2026-08-07,AGN,STL,310,,57,388,,555,
2026-08-07,OHS,FP5,406,29,7,,3973,,
2026-08-07,OHS,PROB ENROLL,1,1,1,,826,,
2026-08-07,SE,ACTIVE,3161,324,36,,29866,,
2026-08-07,SE,RENEW,119,13,4,,624,,
2026-08-08,A1G,PRIORITY,656,17,1,,318969,,
2026-08-08,A1G,STL,73,12,3,,9719,,
2026-08-08,AGN,STL,0,,0,,,,
2026-08-08,OHS,FP5,173,8,1,,4196,,
2026-08-08,OHS,PROB ENROLL,278,25,10,,1139,,
2026-08-08,SE,ACTIVE,1378,134,27,,31366,,
2026-08-09,AGN,STL,0,,0,,,,
2026-08-10,A1G,PRIORITY,7135,365,29,,416868,,
2026-08-10,A1G,STL,141,19,6,,9989,,
2026-08-10,AGN,STL,475,,69,625,,840,
2026-08-10,OHS,FP5,613,52,17,,4583,,
2026-08-10,OHS,PROB ENROLL,1,1,1,,1139,,
2026-08-10,SE,ACTIVE,1668,242,47,,32770,,
2026-08-11,A1G,PRIORITY,12488,303,18,,418254,,
2026-08-11,A1G,STL,141,14,7,,10225,,
2026-08-11,AGN,STL,767,,57,467,,781,
2026-08-11,OHS,FP5,409,33,8,,4775,,
2026-08-11,OHS,PROB ENROLL,127,20,7,,1602,,
2026-08-11,SE,ACTIVE,3894,525,68,,34375,,
2026-08-11,SE,RENEW,227,24,3,,842,,
2026-08-12,A1G,PRIORITY,9789,267,23,,419432,,
2026-08-12,A1G,STL,181,17,10,,10478,,
2026-08-12,AGN,STL,612,,77,556,,188,
2026-08-12,OHS,FP5,729,44,14,,5131,,
2026-08-12,SE,ACTIVE,4453,627,84,,38390,,
2026-08-12,SE,RENEW,165,18,0,,1070,,
2026-08-13,A1G,PRIORITY,14135,359,30,,419432,,
2026-08-13,A1G,STL,175,17,10,,10478,,
2026-08-13,AGN,STL,864,,69,531,,253,
2026-08-13,OHS,FP5,760,53,11,,5470,,
2026-08-13,SE,ACTIVE,6945,656,47,,38390,,
2026-08-14,A1G,PRIORITY,7610,226,31,,422260,,
2026-08-14,A1G,STL,149,20,11,,10478,,
2026-08-14,AGN,STL,654,,54,400,,,
2026-08-14,OHS,FP5,440,34,11,,5661,,
2026-08-14,OHS,PROB ENROLL,470,28,5,,1602,,
2026-08-14,SE,ACTIVE,4051,489,55,,39392,,
2026-08-15,A1G,PRIORITY,2,1,1,,422260,,
2026-08-15,A1G,STL,64,7,3,,10478,,
2026-08-15,AGN,STL,0,,0,,,,
2026-08-15,OHS,FP5,9,3,1,,5661,,
2026-08-15,OHS,PROB ENROLL,5,2,2,,1602,,
2026-08-15,SE,ACTIVE,2318,188,27,,39392,,
2026-08-16,AGN,STL,0,,0,,,,
2026-08-17,A1G,PRIORITY,8957,258,26,,424066,,
2026-08-17,A1G,STL,153,14,11,,11325,,
2026-08-17,OHS,FP5,818,69,15,,6150,,
2026-08-17,OHS,PROB ENROLL,730,45,12,,1602,,
2026-08-17,SE,ACTIVE,3794,440,49,,39393,,
2026-08-17,SE,RENEW,151,21,9,,1262,,
